train_id,fitness_days_remaining,job_card_status,current_mileage_km,branding_contract_status,branding_penalty_risk_lakh,cleaning_status,depot_track,last_induction_date
T01,8,MINOR,119404,LOW,0.46,PENDING,A1,2025-11-02
T02,74,CLEAR,131205,LOW,2.09,DONE,A2,2025-11-16
T03,62,CLEAR,131946,NONE,0.0,DONE,A3,2025-11-07
T04,42,CLEAR,130345,NONE,0.0,PENDING,A4,2025-11-16
T05,41,CLEAR,120676,NONE,0.0,PENDING,A5,2025-11-12
T06,82,MINOR,127857,NONE,0.0,PENDING,A6,2025-11-02
T07,8,MINOR,126933,NONE,0.0,DONE,A7,2025-11-17
T08,66,MINOR,127750,HIGH,9.46,DONE,A8,2025-11-01
T09,19,CLEAR,132971,NONE,0.0,DONE,A9,2025-11-18
T10,9,CRITICAL,127789,NONE,0.0,PENDING,A10,2025-11-16
T11,50,MINOR,131431,NONE,0.0,DONE,A11,2025-11-04
T12,93,MINOR,126541,NONE,0.0,DONE,A12,2025-10-29
T13,70,CLEAR,128313,MEDIUM,3.14,DONE,B1,2025-11-16
T14,73,CLEAR,131050,LOW,0.9,DONE,B2,2025-11-13
T15,68,CLEAR,114343,MEDIUM,3.89,DONE,B3,2025-10-25
T16,75,CLEAR,123443,MEDIUM,3.09,PENDING,B4,2025-10-23
T17,49,MINOR,122237,NONE,0.0,PENDING,B5,2025-11-04
T18,12,MINOR,120889,MEDIUM,2.26,PENDING,B6,2025-11-08
T19,80,CRITICAL,123799,NONE,0.0,DONE,B7,2025-11-11
T20,43,CLEAR,137960,NONE,0.0,DONE,B8,2025-11-03
T21,48,CLEAR,119073,NONE,0.0,DONE,B9,2025-11-04
T22,35,CLEAR,133746,MEDIUM,2.35,DONE,B10,2025-11-13
T23,17,CLEAR,112537,NONE,0.0,DONE,B11,2025-11-21
T24,88,CLEAR,123321,NONE,0.0,DONE,B12,2025-11-17
T25,75,CLEAR,127302,LOW,2.89,DONE,A1,2025-10-24
