train_id,fitness_days_remaining,job_card_status,current_mileage_km,branding_contract_status,branding_penalty_risk_lakh,cleaning_status,depot_track,last_induction_date,total_score,status,rejection_reason,explanation,fitness_score,maintenance_score,mileage_score,branding_score,cleaning_score,depot_score
T01,8,MINOR,119404,LOW,0.46,PENDING,A1,2025-11-02,56.1,ELIGIBLE,,Overall score 56.1/100. Key factors: branding contract has LOW urgency; underutilized mileage (boosted to balance fleet wear); located on A-track (low shunting cost); cleaning pending; only MINOR job card issues open.,42,70,80,40,30,100
T02,74,CLEAR,131205,LOW,2.09,DONE,A2,2025-11-16,87.1,ELIGIBLE,,Overall score 87.1/100. Key factors: branding contract has LOW urgency; mileage close to fleet average; located on A-track (low shunting cost); cleaning completed within last cycle; no open job cards.,97,100,80,40,100,100
T03,62,CLEAR,131946,NONE,0.0,DONE,A3,2025-11-07,88.0,ELIGIBLE,,Overall score 88.0/100. Key factors: no active branding contract (neutral); mileage close to fleet average; located on A-track (low shunting cost); cleaning completed within last cycle; no open job cards.,95,100,80,50,100,100
T04,42,CLEAR,130345,NONE,0.0,PENDING,A4,2025-11-16,78.0,ELIGIBLE,,Overall score 78.0/100. Key factors: no active branding contract (neutral); mileage close to fleet average; located on A-track (low shunting cost); cleaning pending; no open job cards.,85,100,80,50,30,100
T05,41,CLEAR,120676,NONE,0.0,PENDING,A5,2025-11-12,78.0,ELIGIBLE,,Overall score 78.0/100. Key factors: no active branding contract (neutral); mileage close to fleet average; located on A-track (low shunting cost); cleaning pending; no open job cards.,85,100,80,50,30,100
T06,82,MINOR,127857,NONE,0.0,PENDING,A6,2025-11-02,74.4,ELIGIBLE,,Overall score 74.4/100. Key factors: no active branding contract (neutral); mileage close to fleet average; located on A-track (low shunting cost); cleaning pending; only MINOR job card issues open.,98,70,80,50,30,100
T07,8,MINOR,126933,NONE,0.0,DONE,A7,2025-11-17,64.6,ELIGIBLE,,Overall score 64.6/100. Key factors: no active branding contract (neutral); mileage close to fleet average; located on A-track (low shunting cost); cleaning completed within last cycle; only MINOR job card issues open.,42,70,80,50,100,100
T08,66,MINOR,127750,HIGH,9.46,DONE,A8,2025-11-01,88.3,ELIGIBLE,,Overall score 88.3/100. Key factors: branding contract is in HIGH urgency band; mileage close to fleet average; located on A-track (low shunting cost); cleaning completed within last cycle; only MINOR job card issues open.,96,70,80,100,100,100
T09,19,CLEAR,132971,NONE,0.0,DONE,A9,2025-11-18,78.85,ELIGIBLE,,Overall score 78.8/100. Key factors: no active branding contract (neutral); overutilized mileage (slightly deprioritized); located on A-track (low shunting cost); cleaning completed within last cycle; no open job cards.,65,100,79,50,100,100
T10,9,CRITICAL,127789,NONE,0.0,PENDING,A10,2025-11-16,0.0,REJECTED,Critical open job card (safety-critical defect),Auto-rejected due to safety/legal constraints.,44,0,80,50,30,100
T11,50,MINOR,131431,NONE,0.0,DONE,A11,2025-11-04,78.7,ELIGIBLE,,Overall score 78.7/100. Key factors: no active branding contract (neutral); mileage close to fleet average; located on A-track (low shunting cost); cleaning completed within last cycle; only MINOR job card issues open.,89,70,80,50,100,100
